MSA,Population 2000, Population 2001, Population 2002, Population 2003, Population 2004, Population 2005, Population 2006, Population 2007, Population 2008, Population 2009,Population 2010,Density 2000,Density 2001,Density 2002,Density 2003,Density 2004,Density 2005,Density 2006,Density 2007,Density 2008,Density 2009,Density 2010
"Glens Falls, NY MSA",124345,124802.8,125260.6,125718.4,126176.2,126634,127091.8,127549.6,128007.4,128465.2,128923,72.9,73.2,73.5,73.8,74.1,74.4,74.7,75,75.3,75.6,75.9
"Goldsboro, NC MSA",113329,114258.4,115187.8,116117.2,117046.6,117976,118905.4,119834.8,120764.2,121693.6,122623,205.1,206.76,208.42,210.08,211.74,213.4,215.06,216.72,218.38,220.04,221.7
"Grand Forks, ND--MN MSA",97478,97576.3,97674.6,97772.9,97871.2,97969.5,98067.8,98166.1,98264.4,98362.7,98461,28.6,28.63,28.66,28.69,28.72,28.75,28.78,28.81,28.84,28.87,28.9
"Grand Junction, CO MSA",116255,119301.8,122348.6,125395.4,128442.2,131489,134535.8,137582.6,140629.4,143676.2,146723,34.9,35.82,36.74,37.66,38.58,39.5,40.42,41.34,42.26,43.18,44.1
"Grand Rapids--Muskegon--Holland, MI MSA",1088514,979662.6,870811.2,761959.8,653108.4,544257,435405.6,326554.2,217702.8,108851.4,,394.6,355.14,315.68,276.22,236.76,197.3,157.84,118.38,78.92,39.46,
"Great Falls, MT MSA",80357,80454,80551,80648,80745,80842,80939,81036,81133,81230,81327,29.8,29.83,29.86,29.89,29.92,29.95,29.98,30.01,30.04,30.07,30.1
"Greeley, CO PMSA",180936,188124.9,195313.8,202502.7,209691.6,216880.5,224069.4,231258.3,238447.2,245636.1,252825,45.3,47.11,48.92,50.73,52.54,54.35,56.16,57.97,59.78,61.59,63.4
"Green Bay, WI MSA",226778,234724.3,242670.6,250616.9,258563.2,266509.5,274455.8,282402.1,290348.4,298294.7,306241,429,402.47,375.94,349.41,322.88,296.35,269.82,243.29,216.76,190.23,163.7
"Greensboro--Winston-Salem--High Point, NC MSA",1251509,1198738.2,1145967.4,1093196.6,1040425.8,987655,934884.2,882113.4,829342.6,776571.8,723801,322.5,326.55,330.6,334.65,338.7,342.75,346.8,350.85,354.9,358.95,363
"Greenville, NC MSA",133798,139369.2,144940.4,150511.6,156082.8,161654,167225.2,172796.4,178367.6,183938.8,189510,205.3,205.42,205.54,205.66,205.78,205.9,206.02,206.14,206.26,206.38,206.5
"Greenville--Spartanburg--Anderson, SC MSA",962441,866196.9,769952.8,673708.7,577464.6,481220.5,384976.4,288732.3,192488.2,96244.1,,300,270,240,210,180,150,120,90,60,30,
"Hagerstown, MD PMSA",131923,145644.7,159366.4,173088.1,186809.8,200531.5,214253.2,227974.9,241696.6,255418.3,269140,288,285.9,283.8,281.7,279.6,277.5,275.4,273.3,271.2,269.1,267
"Hamilton--Middletown, OH PMSA",332807,299526.3,266245.6,232964.9,199684.2,166403.5,133122.8,99842.1,66561.4,33280.7,,712.2,640.98,569.76,498.54,427.32,356.1,284.88,213.66,142.44,71.22,
"Harrisburg--Lebanon--Carlisle, PA MSA",629401,621408.4,613415.8,605423.2,597430.6,589438,581445.4,573452.8,565460.2,557467.6,549475,316.2,318.46,320.72,322.98,325.24,327.5,329.76,332.02,334.28,336.54,338.8
"Hartford, CT MSA",1183110,1186037.1,1188964.2,1191891.3,1194818.4,1197745.5,1200672.6,1203599.7,1206526.8,1209453.9,1212381,705.4,714.91,724.42,733.93,743.44,752.95,762.46,771.97,781.48,790.99,800.5
"Hattiesburg, MS MSA",111674,114790.8,117907.6,121024.4,124141.2,127258,130374.8,133491.6,136608.4,139725.2,142842,115.9,113.18,110.46,107.74,105.02,102.3,99.58,96.86,94.14,91.42,88.7
"Hickory--Morganton--Lenoir, NC MSA",341851,344215.6,346580.2,348944.8,351309.4,353674,356038.6,358403.2,360767.8,363132.4,365497,208.6,210.06,211.52,212.98,214.44,215.9,217.36,218.82,220.28,221.74,223.2
"Honolulu, HI MSA",876156,883861.1,891566.2,899271.3,906976.4,914681.5,922386.6,930091.7,937796.8,945501.9,953207,1460.8,1473.39,1485.98,1498.57,1511.16,1523.75,1536.34,1548.93,1561.52,1574.11,1586.7
"Houma, LA MSA",194477,195847.1,197217.2,198587.3,199957.4,201327.5,202697.6,204067.7,205437.8,206807.9,208178,83.1,83.84,84.58,85.32,86.06,86.8,87.54,88.28,89.02,89.76,90.5
"Houston, TX PMSA",4177646,4354561.4,4531476.8,4708392.2,4885307.6,5062223,5239138.4,5416053.8,5592969.2,5769884.6,5946800,705.7,702.5,699.3,696.1,692.9,689.7,686.5,683.3,680.1,676.9,673.7
"Houston--Galveston--Brazoria, TX CMSA",4669571,4202613.9,3735656.8,3268699.7,2801742.6,2334785.5,1867828.4,1400871.3,933914.2,466957.1,,606,545.4,484.8,424.2,363.6,303,242.4,181.8,121.2,60.6,
"Huntington--Ashland, WV--KY--OH MSA",315538,312754.4,309970.8,307187.2,304403.6,301620,298836.4,296052.8,293269.2,290485.6,287702,146.1,147.98,149.86,151.74,153.62,155.5,157.38,159.26,161.14,163.02,164.9
"Huntsville, AL MSA",342376,349897.7,357419.4,364941.1,372462.8,379984.5,387506.2,395027.9,402549.6,410071.3,417593,249.4,255.13,260.86,266.59,272.32,278.05,283.78,289.51,295.24,300.97,306.7
"Indianapolis, IN MSA",1607486,1622361.5,1637237,1652112.5,1666988,1681863.5,1696739,1711614.5,1726490,1741365.5,1756241,456.3,456.23,456.16,456.09,456.02,455.95,455.88,455.81,455.74,455.67,455.6
"Iowa City, IA MSA",111006,115164,119322,123480,127638,131796,135954,140112,144270,148428,152586,180.7,175.53,170.36,165.19,160.02,154.85,149.68,144.51,139.34,134.17,129
"Jackson, MI MSA",158422,158604.6,158787.2,158969.8,159152.4,159335,159517.6,159700.2,159882.8,160065.4,160248,224.2,224.62,225.04,225.46,225.88,226.3,226.72,227.14,227.56,227.98,228.4
"Jackson, MS MSA",440801,450626.6,460452.2,470277.8,480103.4,489929,499754.6,509580.2,519405.8,529231.4,539057,186.7,182.5,178.3,174.1,169.9,165.7,161.5,157.3,153.1,148.9,144.7
"Jackson, TN MSA",107377,108181.8,108986.6,109791.4,110596.2,111401,112205.8,113010.6,113815.4,114620.2,115425,127,127.99,128.98,129.97,130.96,131.95,132.94,133.93,134.92,135.91,136.9
"Jacksonville, FL MSA",1100491,1125001.5,1149512,1174022.5,1198533,1223043.5,1247554,1272064.5,1296575,1321085.5,1345596,417.6,417.88,418.16,418.44,418.72,419,419.28,419.56,419.84,420.12,420.4
"Jacksonville, NC MSA",150355,153096.7,155838.4,158580.1,161321.8,164063.5,166805.2,169546.9,172288.6,175030.3,177772,196.1,199.8,203.5,207.2,210.9,214.6,218.3,222,225.7,229.4,233.1
"Jamestown, NY MSA",139750,125775,111800,97825,83850,69875,55900,41925,27950,13975,,131.6,118.44,105.28,92.12,78.96,65.8,52.64,39.48,26.32,13.16,
"Janesville--Beloit, WI MSA",152307,153109.4,153911.8,154714.2,155516.6,156319,157121.4,157923.8,158726.2,159528.6,160331,211.4,212.59,213.78,214.97,216.16,217.35,218.54,219.73,220.92,222.11,223.3
"Jersey City, NJ PMSA",608975,548077.5,487180,426282.5,365385,304487.5,243590,182692.5,121795,60897.5,,13043.6,11739.24,10434.88,9130.52,7826.16,6521.8,5217.44,3913.08,2608.72,1304.36,
"Johnson City--Kingsport--Bristol, TN--VA MSA",480091,432081.9,384072.8,336063.7,288054.6,240045.5,192036.4,144027.3,96018.2,48009.1,,167.5,150.75,134,117.25,100.5,83.75,67,50.25,33.5,16.75,
"Johnstown, PA MSA",232621,223726.8,214832.6,205938.4,197044.2,188150,179255.8,170361.6,161467.4,152573.2,143679,132,139.67,147.34,155.01,162.68,170.35,178.02,185.69,193.36,201.03,208.7
"Jonesboro, AR MSA",82148,86035.8,89923.6,93811.4,97699.2,101587,105474.8,109362.6,113250.4,117138.2,121026,115.6,112.3,109,105.7,102.4,99.1,95.8,92.5,89.2,85.9,82.6
"Joplin, MO MSA",157322,159141.6,160961.2,162780.8,164600.4,166420,168239.6,170059.2,171878.8,173698.4,175518,124.3,125.76,127.22,128.68,130.14,131.6,133.06,134.52,135.98,137.44,138.9
"Kalamazoo--Battle Creek, MI MSA",452851,440224.8,427598.6,414972.4,402346.2,389720,377093.8,364467.6,351841.4,339215.2,326589,240.7,244.56,248.42,252.28,256.14,260,263.86,267.72,271.58,275.44,279.3
"Kankakee, IL PMSA",103833,104794.6,105756.2,106717.8,107679.4,108641,109602.6,110564.2,111525.8,112487.4,113449,153.4,154.83,156.26,157.69,159.12,160.55,161.98,163.41,164.84,166.27,167.7
"Kansas City, MO--KS MSA",1776062,1801989.2,1827916.4,1853843.6,1879770.8,1905698,1931625.2,1957552.4,1983479.6,2009406.8,2035334,328.5,321.65,314.8,307.95,301.1,294.25,287.4,280.55,273.7,266.85,260
"Kenosha, WI PMSA",149577,134619.3,119661.6,104703.9,89746.2,74788.5,59830.8,44873.1,29915.4,14957.7,,548.2,493.38,438.56,383.74,328.92,274.1,219.28,164.46,109.64,54.82,
"Killeen--Temple, TX MSA",312952,322186.8,331421.6,340656.4,349891.2,359126,368360.8,377595.6,386830.4,396065.2,405300,148.2,147.77,147.34,146.91,146.48,146.05,145.62,145.19,144.76,144.33,143.9
"Knoxville, TN MSA",687249,688327.1,689405.2,690483.3,691561.4,692639.5,693717.6,694795.7,695873.8,696951.9,698030,280.6,290.13,299.66,309.19,318.72,328.25,337.78,347.31,356.84,366.37,375.9
"Kokomo, IN MSA",101541,101255.7,100970.4,100685.1,100399.8,100114.5,99829.2,99543.9,99258.6,98973.3,98688,183.5,182.98,182.46,181.94,181.42,180.9,180.38,179.86,179.34,178.82,178.3
"La Crosse, WI--MN MSA",126838,127520.7,128203.4,128886.1,129568.8,130251.5,130934.2,131616.9,132299.6,132982.3,133665,125.4,126.18,126.96,127.74,128.52,129.3,130.08,130.86,131.64,132.42,133.2
"Lafayette, IN MSA",182821,184717.8,186614.6,188511.4,190408.2,192305,194201.8,196098.6,197995.4,199892.2,201789,202,197.58,193.16,188.74,184.32,179.9,175.48,171.06,166.64,162.22,157.8
"Lafayette, LA MSA",385647,374456.1,363265.2,352074.3,340883.4,329692.5,318501.6,307310.7,296119.8,284928.9,273738,148.7,161.03,173.36,185.69,198.02,210.35,222.68,235.01,247.34,259.67,272
"Lake Charles, LA MSA",183577,185180,186783,188386,189989,191592,193195,194798,196401,198004,199607,171.4,162.76,154.12,145.48,136.84,128.2,119.56,110.92,102.28,93.64,85
"Lakeland--Winter Haven, FL MSA",483924,495741.1,507558.2,519375.3,531192.4,543009.5,554826.6,566643.7,578460.8,590277.9,602095,258.2,265.87,273.54,281.21,288.88,296.55,304.22,311.89,319.56,327.23,334.9
"Lancaster, PA MSA",470658,475536.7,480415.4,485294.1,490172.8,495051.5,499930.2,504808.9,509687.6,514566.3,519445,495.9,501.35,506.8,512.25,517.7,523.15,528.6,534.05,539.5,544.95,550.4
"Lansing--East Lansing, MI MSA",447728,449358.8,450989.6,452620.4,454251.2,455882,457512.8,459143.6,460774.4,462405.2,464036,262.3,263.4,264.5,265.6,266.7,267.8,268.9,270,271.1,272.2,273.3
"Laredo, TX MSA",193117,198835.7,204554.4,210273.1,215991.8,221710.5,227429.2,233147.9,238866.6,244585.3,250304,57.5,59.2,60.9,62.6,64.3,66,67.7,69.4,71.1,72.8,74.5
"Las Cruces, NM MSA",174682,178137.1,181592.2,185047.3,188502.4,191957.5,195412.6,198867.7,202322.8,205777.9,209233,45.9,46.81,47.72,48.63,49.54,50.45,51.36,52.27,53.18,54.09,55
"Las Vegas, NV--AZ MSA",1563282,1602080.7,1640879.4,1679678.1,1718476.8,1757275.5,1796074.2,1834872.9,1873671.6,1912470.3,1951269,39.7,60.46,81.22,101.98,122.74,143.5,164.26,185.02,205.78,226.54,247.3
"Lawrence, KS MSA",99962,101048.4,102134.8,103221.2,104307.6,105394,106480.4,107566.8,108653.2,109739.6,110826,218.8,221.23,223.66,226.09,228.52,230.95,233.38,235.81,238.24,240.67,243.1
"Lawrence, MA--NH PMSA",396230,356607,316984,277361,237738,198115,158492,118869,79246,39623,,905.5,814.95,724.4,633.85,543.3,452.75,362.2,271.65,181.1,90.55,
"Lawton, OK MSA",114996,115906.2,116816.4,117726.6,118636.8,119547,120457.2,121367.4,122277.6,123187.8,124098,107.5,108.36,109.22,110.08,110.94,111.8,112.66,113.52,114.38,115.24,116.1
"Lewiston--Auburn, ME MSA",90830,92517.2,94204.4,95891.6,97578.8,99266,100953.2,102640.4,104327.6,106014.8,107702,298.2,291.4,284.6,277.8,271,264.2,257.4,250.6,243.8,237,230.2
"Lexington, KY MSA",479198,478488.1,477778.2,477068.3,476358.4,475648.5,474938.6,474228.7,473518.8,472808.9,472099,249.7,256.88,264.06,271.24,278.42,285.6,292.78,299.96,307.14,314.32,321.5
"Lima, OH MSA",155084,150208.7,145333.4,140458.1,135582.8,130707.5,125832.2,120956.9,116081.6,111206.3,106331,192.5,199.67,206.84,214.01,221.18,228.35,235.52,242.69,249.86,257.03,264.2
"Lincoln, NE MSA",250291,255477.6,260664.2,265850.8,271037.4,276224,281410.6,286597.2,291783.8,296970.4,302157,298.4,290.01,281.62,273.23,264.84,256.45,248.06,239.67,231.28,222.89,214.5
"Little Rock--North Little Rock, AR MSA",583845,595436.2,607027.4,618618.6,630209.8,641801,653392.2,664983.4,676574.6,688165.8,699757,200.8,197.85,194.9,191.95,189,186.05,183.1,180.15,177.2,174.25,171.3
"Longview--Marshall, TX MSA",208780,209338.9,209897.8,210456.7,211015.6,211574.5,212133.4,212692.3,213251.2,213810.1,214369,118.6,118.78,118.96,119.14,119.32,119.5,119.68,119.86,120.04,120.22,120.4
"Los Angeles--Long Beach, CA PMSA",9519338,9850287.9,10181237.8,10512187.7,10843137.6,11174087.5,11505037.4,11835987.3,12166937.2,12497887.1,12828837,2344.2,2374.38,2404.56,2434.74,2464.92,2495.1,2525.28,2555.46,2585.64,2615.82,2646
"Los Angeles--Riverside--Orange County, CA CMSA",16373645,14736280.5,13098916,11461551.5,9824187,8186822.5,6549458,4912093.5,3274729,1637364.5,,482.2,433.98,385.76,337.54,289.32,241.1,192.88,144.66,96.44,48.22,
"Louisville, KY--IN MSA",1025598,1051394.8,1077191.6,1102988.4,1128785.2,1154582,1180378.8,1206175.6,1231972.4,1257769.2,1283566,495,476.72,458.44,440.16,421.88,403.6,385.32,367.04,348.76,330.48,312.2
"Lowell, MA--NH PMSA",301686,271517.4,241348.8,211180.2,181011.6,150843,120674.4,90505.8,60337.2,30168.6,,1208.2,1087.38,966.56,845.74,724.92,604.1,483.28,362.46,241.64,120.82,
"Lubbock, TX MSA",242628,246854.2,251080.4,255306.6,259532.8,263759,267985.2,272211.4,276437.6,280663.8,284890,269.7,258.59,247.48,236.37,225.26,214.15,203.04,191.93,180.82,169.71,158.6
"Lynchburg, VA MSA",214911,218683.3,222455.6,226227.9,230000.2,233772.5,237544.8,241317.1,245089.4,248861.7,252634,120,119.91,119.82,119.73,119.64,119.55,119.46,119.37,119.28,119.19,119.1
"Macon, GA MSA",322549,313523.4,304497.8,295472.2,286446.6,277421,268395.4,259369.8,250344.2,241318.6,232293,210.6,203.02,195.44,187.86,180.28,172.7,165.12,157.54,149.96,142.38,134.8
"Madison, WI MSA",426526,440732.7,454939.4,469146.1,483352.8,497559.5,511766.2,525972.9,540179.6,554386.3,568593,354.9,340.27,325.64,311.01,296.38,281.75,267.12,252.49,237.86,223.23,208.6
"Manchester, NH PMSA",198378,218612.3,238846.6,259080.9,279315.2,299549.5,319783.8,340018.1,360252.4,380486.7,400721,628.4,611.3,594.2,577.1,560,542.9,525.8,508.7,491.6,474.5,457.4
"Mansfield, OH MSA",175818,170683.7,165549.4,160415.1,155280.8,150146.5,145012.2,139877.9,134743.6,129609.3,124475,195.6,201.17,206.74,212.31,217.88,223.45,229.02,234.59,240.16,245.73,251.3
"Mayagüez, PR MSA",253347,238645.3,223943.6,209241.9,194540.2,179838.5,165136.8,150435.1,135733.4,121031.7,106330,876.7,908.52,940.34,972.16,1003.98,1035.8,1067.62,1099.44,1131.26,1163.08,1194.9
"McAllen--Edinburg--Mission, TX MSA",569463,589993.6,610524.2,631054.8,651585.4,672116,692646.6,713177.2,733707.8,754238.4,774769,362.8,375.84,388.88,401.92,414.96,428,441.04,454.08,467.12,480.16,493.2
"Medford--Ashland, OR MSA",181269,183462.7,185656.4,187850.1,190043.8,192237.5,194431.2,196624.9,198818.6,201012.3,203206,65.1,58.59,52.08,45.57,39.06,32.55,26.04,19.53,13.02,6.51,
"Melbourne--Titusville--Palm Bay, FL MSA",476230,428607,380984,333361,285738,238115,190492,142869,95246,47623,,467.7,420.93,374.16,327.39,280.62,233.85,187.08,140.31,93.54,46.77,
"Memphis, TN--AR--MS MSA",1135614,1153662.6,1171711.2,1189759.8,1207808.4,1225857,1243905.6,1261954.2,1280002.8,1298051.4,1316100,377.7,368.68,359.66,350.64,341.62,332.6,323.58,314.56,305.54,296.52,287.5
"Merced, CA MSA",210554,215077.9,219601.8,224125.7,228649.6,233173.5,237697.4,242221.3,246745.2,251269.1,255793,109.2,111.5,113.8,116.1,118.4,120.7,123,125.3,127.6,129.9,132.2
"Miami, FL PMSA",2253362,2028025.8,1802689.6,1577353.4,1352017.2,1126681,901344.8,676008.6,450672.4,225336.2,,1157.9,1042.11,926.32,810.53,694.74,578.95,463.16,347.37,231.58,115.79,
"Miami--Fort Lauderdale, FL CMSA",3876380,4045205.5,4214031,4382856.5,4551682,4720507.5,4889333,5058158.5,5226984,5395809.5,5564635,1230,1216.6,1203.2,1189.8,1176.4,1163,1149.6,1136.2,1122.8,1109.4,1096
"Middlesex--Somerset--Hunterdon, NJ PMSA",1169641,1052676.9,935712.8,818748.7,701784.6,584820.5,467856.4,350892.3,233928.2,116964.1,,1120,1008,896,784,672,560,448,336,224,112,
"Milwaukee--Racine, WI CMSA",1689572,1520614.8,1351657.6,1182700.4,1013743.2,844786,675828.8,506871.6,337914.4,168957.2,,942.3,848.07,753.84,659.61,565.38,471.15,376.92,282.69,188.46,94.23,
"Milwaukee--Waukesha, WI PMSA",1500741,1506257.7,1511774.4,1517291.1,1522807.8,1528324.5,1533841.2,1539357.9,1544874.6,1550391.3,1555908,1028,1032.15,1036.3,1040.45,1044.6,1048.75,1052.9,1057.05,1061.2,1065.35,1069.5
"Minneapolis--St. Paul, MN--WI MSA",2968806,2999908.7,3031011.4,3062114.1,3093216.8,3124319.5,3155422.2,3186524.9,3217627.6,3248730.3,3279833,489.7,495.15,500.6,506.05,511.5,516.95,522.4,527.85,533.3,538.75,544.2
"Missoula, MT MSA",95802,97151.7,98501.4,99851.1,101200.8,102550.5,103900.2,105249.9,106599.6,107949.3,109299,36.9,37.42,37.94,38.46,38.98,39.5,40.02,40.54,41.06,41.58,42.1
"Mobile, AL MSA",540258,527531.4,514804.8,502078.2,489351.6,476625,463898.4,451171.8,438445.2,425718.6,412992,190.9,205.4,219.9,234.4,248.9,263.4,277.9,292.4,306.9,321.4,335.9
"Modesto, CA MSA",446997,453742.6,460488.2,467233.8,473979.4,480725,487470.6,494216.2,500961.8,507707.4,514453,299.2,303.7,308.2,312.7,317.2,321.7,326.2,330.7,335.2,339.7,344.2
"Monmouth--Ocean, NJ PMSA",1126217,1013595.3,900973.6,788351.9,675730.2,563108.5,450486.8,337865.1,225243.4,112621.7,,1016.2,914.58,812.96,711.34,609.72,508.1,406.48,304.86,203.24,101.62,
"Monroe, LA MSA",147250,150169.1,153088.2,156007.3,158926.4,161845.5,164764.6,167683.7,170602.8,173521.9,176441,241.2,228.94,216.68,204.42,192.16,179.9,167.64,155.38,143.12,130.86,118.6
"Montgomery, AL MSA",333055,337203.1,341351.2,345499.3,349647.4,353795.5,357943.6,362091.7,366239.8,370387.9,374536,165.9,163.11,160.32,157.53,154.74,151.95,149.16,146.37,143.58,140.79,138
"Muncie, IN MSA",118769,118659.2,118549.4,118439.6,118329.8,118220,118110.2,118000.4,117890.6,117780.8,117671,302,301.81,301.62,301.43,301.24,301.05,300.86,300.67,300.48,300.29,300.1
"Myrtle Beach, SC MSA",196629,203895.2,211161.4,218427.6,225693.8,232960,240226.2,247492.4,254758.6,262024.8,269291,173.4,179.81,186.22,192.63,199.04,205.45,211.86,218.27,224.68,231.09,237.5
"Naples, FL MSA",251377,258391.3,265405.6,272419.9,279434.2,286448.5,293462.8,300477.1,307491.4,314505.7,321520,124.1,127.78,131.46,135.14,138.82,142.5,146.18,149.86,153.54,157.22,160.9
"Nashua, NH PMSA",190949,171854.1,152759.2,133664.3,114569.4,95474.5,76379.6,57284.7,38189.8,19094.9,,589.8,530.82,471.84,412.86,353.88,294.9,235.92,176.94,117.96,58.98,
"Nashville, TN MSA",1231311,1267173.3,1303035.6,1338897.9,1374760.2,1410622.5,1446484.8,1482347.1,1518209.4,1554071.7,1589934,302.3,300.02,297.74,295.46,293.18,290.9,288.62,286.34,284.06,281.78,279.5
"Nassau--Suffolk, NY PMSA",2753913,2478521.7,2203130.4,1927739.1,1652347.8,1376956.5,1101565.2,826173.9,550782.6,275391.3,,2297.1,2067.39,1837.68,1607.97,1378.26,1148.55,918.84,689.13,459.42,229.71,
"New Bedford, MA PMSA",175198,157678.2,140158.4,122638.6,105118.8,87599,70079.2,52559.4,35039.6,17519.8,,817.9,736.11,654.32,572.53,490.74,408.95,327.16,245.37,163.58,81.79,
"New Haven--Meriden, CT PMSA",542149,487934.1,433719.2,379504.3,325289.4,271074.5,216859.6,162644.7,108429.8,54214.9,,1261,1134.9,1008.8,882.7,756.6,630.5,504.4,378.3,252.2,126.1,
"New London--Norwich, CT--RI MSA",293566,291614.9,289663.8,287712.7,285761.6,283810.5,281859.4,279908.3,277957.2,276006.1,274055,443.3,398.97,354.64,310.31,265.98,221.65,177.32,132.99,88.66,44.33,
"New Orleans, LA MSA",1337726,1320729.8,1303733.6,1286737.4,1269741.2,1252745,1235748.8,1218752.6,1201756.4,1184760.2,1167764,393.5,393.6,393.7,393.8,393.9,394,394.1,394.2,394.3,394.4,394.5
"New York, NY PMSA",9314235,8382811.5,7451388,6519964.5,5588541,4657117.5,3725694,2794270.5,1862847,931423.5,,8158.7,7342.83,6526.96,5711.09,4895.22,4079.35,3263.48,2447.61,1631.74,815.87,
"New York--Northern New Jersey--Long Island, NY--NJ--CT--PA CMSA",21199865,20969589.4,20739313.8,20509038.2,20278762.6,20048487,19818211.4,19587935.8,19357660.2,19127384.6,18897109,2028.7,2108.43,2188.16,2267.89,2347.62,2427.35,2507.08,2586.81,2666.54,2746.27,2826
"Newark, NJ PMSA",2032989,1829690.1,1626391.2,1423092.3,1219793.4,1016494.5,813195.6,609896.7,406597.8,203298.9,,1288.6,1159.74,1030.88,902.02,773.16,644.3,515.44,386.58,257.72,128.86,
"Newburgh, NY--PA PMSA",387669,348902.1,310135.2,271368.3,232601.4,193834.5,155067.6,116300.7,77533.8,38766.9,,284.4,255.96,227.52,199.08,170.64,142.2,113.76,85.32,56.88,28.44,
"Norfolk--Virginia Beach--Newport News, VA--NC MSA",1569541,1412586.9,1255632.8,1098678.7,941724.6,784770.5,627816.4,470862.3,313908.2,156954.1,,668.3,601.47,534.64,467.81,400.98,334.15,267.32,200.49,133.66,66.83,
"Oakland, CA PMSA",2392557,2153301.3,1914045.6,1674789.9,1435534.2,1196278.5,957022.8,717767.1,478511.4,239255.7,,1641.5,1477.35,1313.2,1149.05,984.9,820.75,656.6,492.45,328.3,164.15,
"Ocala, FL MSA",258916,266154.2,273392.4,280630.6,287868.8,295107,302345.2,309583.4,316821.6,324059.8,331298,164,168.51,173.02,177.53,182.04,186.55,191.06,195.57,200.08,204.59,209.1
"Odessa--Midland, TX MSA",237132,227131.8,217131.6,207131.4,197131.2,187131,177130.8,167130.6,157130.4,147130.2,137130,131.6,133.72,135.84,137.96,140.08,142.2,144.32,146.44,148.56,150.68,152.8
"Oklahoma City, OK MSA",1083346,1100310.1,1117274.2,1134238.3,1151202.4,1168166.5,1185130.6,1202094.7,1219058.8,1236022.9,1252987,255.1,252.32,249.54,246.76,243.98,241.2,238.42,235.64,232.86,230.08,227.3
"Olympia, WA PMSA",207355,211845.9,216336.8,220827.7,225318.6,229809.5,234300.4,238791.3,243282.2,247773.1,252264,285.2,291.62,298.04,304.46,310.88,317.3,323.72,330.14,336.56,342.98,349.4
"Omaha, NE--IA MSA",716998,731833.2,746668.4,761503.6,776338.8,791174,806009.2,820844.4,835679.6,850514.8,865350,289.6,280.53,271.46,262.39,253.32,244.25,235.18,226.11,217.04,207.97,198.9
"Orange County, CA PMSA",2846289,2561660.1,2277031.2,1992402.3,1707773.4,1423144.5,1138515.6,853886.7,569257.8,284628.9,,3605.6,3245.04,2884.48,2523.92,2163.36,1802.8,1442.24,1081.68,721.12,360.56,
"Orlando, FL MSA",1644561,1693546,1742531,1791516,1840501,1889486,1938471,1987456,2036441,2085426,2134411,471.1,485.35,499.6,513.85,528.1,542.35,556.6,570.85,585.1,599.35,613.6
"Owensboro, KY MSA",91545,93865.7,96186.4,98507.1,100827.8,103148.5,105469.2,107789.9,110110.6,112431.3,114752,198,190.97,183.94,176.91,169.88,162.85,155.82,148.79,141.76,134.73,127.7
"Panama City, FL MSA",148217,150280.5,152344,154407.5,156471,158534.5,160598,162661.5,164725,166788.5,168852,194.1,196.95,199.8,202.65,205.5,208.35,211.2,214.05,216.9,219.75,222.6
"Parkersburg--Marietta, WV--OH MSA",151237,152318.9,153400.8,154482.7,155564.6,156646.5,157728.4,158810.3,159892.2,160974.1,162056,150.9,147.72,144.54,141.36,138.18,135,131.82,128.64,125.46,122.28,119.1
"Pensacola, FL MSA",412153,415836.8,419520.6,423204.4,426888.2,430572,434255.8,437939.6,441623.4,445307.2,448991,245.4,247.78,250.16,252.54,254.92,257.3,259.68,262.06,264.44,266.82,269.2
"Peoria--Pekin, IL MSA",347387,350566.9,353746.8,356926.7,360106.6,363286.5,366466.4,369646.3,372826.2,376006.1,379186,193.4,189.41,185.42,181.43,177.44,173.45,169.46,165.47,161.48,157.49,153.5
"Philadelphia, PA--NJ PMSA",5100931,4590837.9,4080744.8,3570651.7,3060558.6,2550465.5,2040372.4,1530279.3,1020186.2,510093.1,,1323.1,1190.79,1058.48,926.17,793.86,661.55,529.24,396.93,264.62,132.31,
"Philadelphia--Wilmington--Atlantic City, PA--NJ--DE--MD CMSA",6188463,6166151,6143839,6121527,6099215,6076903,6054591,6032279,6009967,5987655,5965343,1042.7,1068.05,1093.4,1118.75,1144.1,1169.45,1194.8,1220.15,1245.5,1270.85,1296.2
"Phoenix--Mesa, AZ MSA",3251876,3345977.1,3440078.2,3534179.3,3628280.4,3722381.5,3816482.6,3910583.7,4004684.8,4098785.9,4192887,223.1,229.58,236.06,242.54,249.02,255.5,261.98,268.46,274.94,281.42,287.9
"Pine Bluff, AR MSA",84278,85876,87474,89072,90670,92268,93866,95464,97062,98660,100258,95.2,90.62,86.04,81.46,76.88,72.3,67.72,63.14,58.56,53.98,49.4
"Pittsburgh, PA MSA",2358695,2358454,2358213,2357972,2357731,2357490,2357249,2357008,2356767,2356526,2356285,509.9,503.52,497.14,490.76,484.38,478,471.62,465.24,458.86,452.48,446.1
"Pittsfield, MA MSA",84699,89351,94003,98655,103307,107959,112611,117263,121915,126567,131219,336.4,316.92,297.44,277.96,258.48,239,219.52,200.04,180.56,161.08,141.6
"Pocatello, ID MSA",75565,77074.1,78583.2,80092.3,81601.4,83110.5,84619.6,86128.7,87637.8,89146.9,90656,67.9,64.71,61.52,58.33,55.14,51.95,48.76,45.57,42.38,39.19,36
