MSA,Population 2000, Population 2001, Population 2002, Population 2003, Population 2004, Population 2005, Population 2006, Population 2007, Population 2008, Population 2009,Population 2010,Density 2000,Density 2001,Density 2002,Density 2003,Density 2004,Density 2005,Density 2006,Density 2007,Density 2008,Density 2009,Density 2010
"Bellingham, WA MSA",166814,170246.6,173679.2,177111.8,180544.4,183977,187409.6,190842.2,194274.8,197707.4,201140,78.7,80.38,82.06,83.74,85.42,87.1,88.78,90.46,92.14,93.82,95.5
"Benton Harbor, MI MSA",162453,146207.7,129962.4,113717.1,97471.8,81226.5,64981.2,48735.9,32490.6,16245.3,,284.5,256.05,227.6,199.15,170.7,142.25,113.8,85.35,56.9,28.45,
"Bergen--Passaic, NJ PMSA",1373167,1235850.3,1098533.6,961216.9,823900.2,686583.5,549266.8,411950.1,274633.4,137316.7,,3273.6,2946.24,2618.88,2291.52,1964.16,1636.8,1309.44,982.08,654.72,327.36,
"Billings, MT MSA",129352,132221.8,135091.6,137961.4,140831.2,143701,146570.8,149440.6,152310.4,155180.2,158050,49.1,47.57,46.04,44.51,42.98,41.45,39.92,38.39,36.86,35.33,33.8
"Biloxi--Gulfport--Pascagoula, MS MSA",363988,327589.2,291190.4,254791.6,218392.8,181994,145595.2,109196.4,72797.6,36398.8,,203.9,183.51,163.12,142.73,122.34,101.95,81.56,61.17,40.78,20.39,
"Binghamton, NY MSA",252320,252260.5,252201,252141.5,252082,252022.5,251963,251903.5,251844,251784.5,251725,205.9,205.87,205.84,205.81,205.78,205.75,205.72,205.69,205.66,205.63,205.6
"Birmingham, AL MSA",921106,941800.1,962494.2,983188.3,1003882.4,1024576.5,1045270.6,1065964.7,1086658.8,1107352.9,1128047,289.1,281.56,274.02,266.48,258.94,251.4,243.86,236.32,228.78,221.24,213.7
"Bismarck, ND MSA",94719,96125,97531,98937,100343,101749,103155,104561,105967,107373,108779,26.6,27,27.4,27.8,28.2,28.6,29,29.4,29.8,30.2,30.6
"Bloomington, IN MSA",120563,127778.1,134993.2,142208.3,149423.4,156638.5,163853.6,171068.7,178283.8,185498.9,192714,305.7,289.7,273.7,257.7,241.7,225.7,209.7,193.7,177.7,161.7,145.7
"Bloomington--Normal, IL MSA",150433,152346.9,154260.8,156174.7,158088.6,160002.5,161916.4,163830.3,165744.2,167658.1,169572,127.1,128.72,130.34,131.96,133.58,135.2,136.82,138.44,140.06,141.68,143.3
"Boise City, ID MSA",432345,450766.6,469188.2,487609.8,506031.4,524453,542874.6,561296.2,579717.8,598139.4,616561,262.9,241.85,220.8,199.75,178.7,157.65,136.6,115.55,94.5,73.45,52.4
"Boston, MA--NH PMSA",3406829,3521386.3,3635943.6,3750500.9,3865058.2,3979615.5,4094172.8,4208730.1,4323287.4,4437844.7,4552402,1685.1,1647.13,1609.16,1571.19,1533.22,1495.25,1457.28,1419.31,1381.34,1343.37,1305.4
"Boston--Worcester--Lawrence, MA--NH--ME--CT CMSA",5819100,5237190,4655280,4073370,3491460,2909550,2327640,1745730,1163820,581910,,1034.1,930.69,827.28,723.87,620.46,517.05,413.64,310.23,206.82,103.41,
"Boulder--Longmont, CO PMSA",291288,291615.9,291943.8,292271.7,292599.6,292927.5,293255.4,293583.3,293911.2,294239.1,294567,392.3,393.63,394.96,396.29,397.62,398.95,400.28,401.61,402.94,404.27,405.6
"Brazoria, TX PMSA",241767,217590.3,193413.6,169236.9,145060.2,120883.5,96706.8,72530.1,48353.4,24176.7,,174.4,156.96,139.52,122.08,104.64,87.2,69.76,52.32,34.88,17.44,
"Bremerton, WA PMSA",231969,233885.4,235801.8,237718.2,239634.6,241551,243467.4,245383.8,247300.2,249216.6,251133,585.8,590.81,595.82,600.83,605.84,610.85,615.86,620.87,625.88,630.89,635.9
"Bridgeport, CT PMSA",459479,505214,550949,596684,642419,688154,733889,779624,825359,871094,916829,1754.9,1726.13,1697.36,1668.59,1639.82,1611.05,1582.28,1553.51,1524.74,1495.97,1467.2
"Brockton, MA PMSA",255459,229913.1,204367.2,178821.3,153275.4,127729.5,102183.6,76637.7,51091.8,25545.9,,858.5,772.65,686.8,600.95,515.1,429.25,343.4,257.55,171.7,85.85,
"Brownsville--Harlingen--San Benito, TX MSA",335227,342326.3,349425.6,356524.9,363624.2,370723.5,377822.8,384922.1,392021.4,399120.7,406220,370.1,378.69,387.28,395.87,404.46,413.05,421.64,430.23,438.82,447.41,456
"Bryan--College Station, TX MSA",152415,137173.5,121932,106690.5,91449,76207.5,60966,45724.5,30483,15241.5,,260.2,234.18,208.16,182.14,156.12,130.1,104.08,78.06,52.04,26.02,
"Buffalo--Niagara Falls, NY MSA",1170111,1166650.8,1163190.6,1159730.4,1156270.2,1152810,1149349.8,1145889.6,1142429.4,1138969.2,1135509,746.6,744.49,742.38,740.27,738.16,736.05,733.94,731.83,729.72,727.61,725.5
"Burlington, VT MSA",169391,167565,165739,163913,162087,160261,158435,156609,154783,152957,151131,301.4,306.91,312.42,317.93,323.44,328.95,334.46,339.97,345.48,350.99,356.5
"Caguas, PR PMSA",308365,277528.5,246692,215855.5,185019,154182.5,123346,92509.5,61673,30836.5,,1354.5,1219.05,1083.6,948.15,812.7,677.25,541.8,406.35,270.9,135.45,
"Canton--Massillon, OH MSA",406934,406682.8,406431.6,406180.4,405929.2,405678,405426.8,405175.6,404924.4,404673.2,404422,419.2,418.98,418.76,418.54,418.32,418.1,417.88,417.66,417.44,417.22,417
"Casper, WY MSA",66533,67424.7,68316.4,69208.1,70099.8,70991.5,71883.2,72774.9,73666.6,74558.3,75450,12.5,12.66,12.82,12.98,13.14,13.3,13.46,13.62,13.78,13.94,14.1
"Cedar Rapids, IA MSA",191701,198324.9,204948.8,211572.7,218196.6,224820.5,231444.4,238068.3,244692.2,251316.1,257940,267.2,253.32,239.44,225.56,211.68,197.8,183.92,170.04,156.16,142.28,128.4
"Champaign--Urbana, IL MSA",179669,184891.2,190113.4,195335.6,200557.8,205780,211002.2,216224.4,221446.6,226668.8,231891,180.2,174.25,168.3,162.35,156.4,150.45,144.5,138.55,132.6,126.65,120.7
"Charleston, WV MSA",251662,256924.2,262186.4,267448.6,272710.8,277973,283235.2,288497.4,293759.6,299021.8,304284,201.4,193.3,185.2,177.1,169,160.9,152.8,144.7,136.6,128.5,120.4
"Charleston--North Charleston, SC MSA",549033,560590.4,572147.8,583705.2,595262.6,606820,618377.4,629934.8,641492.2,653049.6,664607,211.9,216.39,220.88,225.37,229.86,234.35,238.84,243.33,247.82,252.31,256.8
"Charlotte--Gastonia--Rock Hill, NC--SC MSA",1499293,1525167.5,1551042,1576916.5,1602791,1628665.5,1654540,1680414.5,1706289,1732163.5,1758038,444,456.58,469.16,481.74,494.32,506.9,519.48,532.06,544.64,557.22,569.8
"Charlottesville, VA MSA",159576,163774.3,167972.6,172170.9,176369.2,180567.5,184765.8,188964.1,193162.4,197360.7,201559,135.6,134.3,133,131.7,130.4,129.1,127.8,126.5,125.2,123.9,122.6
"Chattanooga, TN--GA MSA",465161,471459.2,477757.4,484055.6,490353.8,496652,502950.2,509248.4,515546.6,521844.8,528143,255.1,254.87,254.64,254.41,254.18,253.95,253.72,253.49,253.26,253.03,252.8
"Cheyenne, WY MSA",81607,82620.1,83633.2,84646.3,85659.4,86672.5,87685.6,88698.7,89711.8,90724.9,91738,30.4,30.78,31.16,31.54,31.92,32.3,32.68,33.06,33.44,33.82,34.2
"Chicago, IL PMSA",8272768,7445491.2,6618214.4,5790937.6,4963660.8,4136384,3309107.2,2481830.4,1654553.6,827276.8,,1634.2,1470.78,1307.36,1143.94,980.52,817.1,653.68,490.26,326.84,163.42,
"Chicago--Gary--Kenosha, IL--IN--WI CMSA",9157540,9187896.5,9218253,9248609.5,9278966,9309322.5,9339679,9370035.5,9400392,9430748.5,9461105,1322,1189.8,1057.6,925.4,793.2,661,528.8,396.6,264.4,132.2,
"Chico--Paradise, CA MSA",203171,204853.9,206536.8,208219.7,209902.6,211585.5,213268.4,214951.3,216634.2,218317.1,220000,123.9,124.95,126,127.05,128.1,129.15,130.2,131.25,132.3,133.35,134.4
"Cincinnati, OH--KY--IN PMSA",1646395,1481755.5,1317116,1152476.5,987837,823197.5,658558,493918.5,329279,164639.5,,492.7,443.43,394.16,344.89,295.62,246.35,197.08,147.81,98.54,49.27,
"Cincinnati--Hamilton, OH--KY--IN CMSA",1979202,1994296.9,2009391.8,2024486.7,2039581.6,2054676.5,2069771.4,2084866.3,2099961.2,2115056.1,2130151,519.6,516.14,512.68,509.22,505.76,502.3,498.84,495.38,491.92,488.46,485
