Target Geo Id 2000,Target Geo Id2 2000,Geographical Area_x,MSA,Population 2000,Housing  units 2000,Area in square miles - Total area 2000,Area in square miles - Water area 2000,Area in square miles - Land area 2000,Density per square mile of land area - Population 2000,Density per square mile of land area - Housing  units 2000,Target Geo Id 2010,Target Geo Id2 2010,Geographical Area_y,Population 2010,Housing units 2010,Area in square miles - Total area 2010,Area in square miles - Water area 2010,Area in square miles - Land area 2010,Density per square mile of land area - Population 2010,Density per square mile of land area - Housing units 2010
3800000US2190,2190.0,"United States - In metropolitan statistical area - Dover, DE MSA","Dover, DE MSA",126697.0,50481.0,800.12,210.4,589.72,214.8,85.6,310M100US20100,20100.0,"United States - In metropolitan statistical area - Dover, DE MSA",162310.0,65338.0,798.33,212.15,586.18,276.9,111.5
3800000US2200,2200.0,"United States - In metropolitan statistical area - Dubuque, IA MSA","Dubuque, IA MSA",89143.0,35505.0,616.56,8.41,608.16,146.6,58.4,310M100US20220,20220.0,"United States - In metropolitan statistical area - Dubuque, IA MSA",93653.0,38951.0,616.63,8.33,608.3,154.0,64.0
3800000US2240,2240.0,"United States - In metropolitan statistical area - Duluth-Superior, MN-WI MSA","Duluth-Superior, MN-WI MSA",243815.0,116156.0,8339.83,805.53,7534.3,32.4,15.4,,,,,,,,,,
3800000US2290,2290.0,"United States - In metropolitan statistical area - Eau Claire, WI MSA","Eau Claire, WI MSA",148337.0,60295.0,1686.6,38.53,1648.07,90.0,36.6,310M100US20740,20740.0,"United States - In metropolitan statistical area - Eau Claire, WI MSA",161151.0,69336.0,1686.53,40.17,1646.36,97.9,42.1
3800000US2320,2320.0,"United States - In metropolitan statistical area - El Paso, TX MSA","El Paso, TX MSA",679622.0,224447.0,1014.68,1.57,1013.11,670.8,221.5,310M100US21340,21340.0,"United States - In metropolitan statistical area - El Paso, TX MSA",800647.0,270307.0,1014.96,2.27,1012.69,790.6,266.9
3800000US2330,2330.0,"United States - In metropolitan statistical area - Elkhart-Goshen, IN MSA","Elkhart-Goshen, IN MSA",182791.0,69791.0,467.85,4.03,463.81,394.1,150.5,310M100US21140,21140.0,"United States - In metropolitan statistical area - Elkhart-Goshen, IN MSA",197559.0,77767.0,467.97,4.8,463.17,426.5,167.9
3800000US2335,2335.0,"United States - In metropolitan statistical area - Elmira, NY MSA","Elmira, NY MSA",91070.0,37745.0,410.79,2.62,408.17,223.1,92.5,310M100US21300,21300.0,"United States - In metropolitan statistical area - Elmira, NY MSA",88830.0,38369.0,410.78,3.43,407.35,218.1,94.2
3800000US2340,2340.0,"United States - In metropolitan statistical area - Enid, OK MSA","Enid, OK MSA",57813.0,26047.0,1059.94,1.55,1058.39,54.6,24.6,,,,,,,,,,
3800000US2360,2360.0,"United States - In metropolitan statistical area - Erie, PA MSA","Erie, PA MSA",280843.0,114322.0,1558.4,756.46,801.95,350.2,142.6,310M100US21500,21500.0,"United States - In metropolitan statistical area - Erie, PA MSA",280566.0,119138.0,1558.23,759.08,799.15,351.1,149.1
3800000US2400,2400.0,"United States - In metropolitan statistical area - Eugene-Springfield, OR MSA","Eugene-Springfield, OR MSA",322959.0,138946.0,4721.79,167.79,4554.0,70.9,30.5,310M100US21660,21660.0,"United States - In metropolitan statistical area - Eugene-Springfield, OR MSA",351715.0,156112.0,4721.87,168.75,4553.12,77.2,34.3
3800000US2440,2440.0,"United States - In metropolitan statistical area - Evansville-Henderson, IN-KY MSA","Evansville-Henderson, IN-KY MSA",296195.0,127388.0,1513.28,46.01,1467.27,201.9,86.8,,,,,,,,,,
3800000US2520,2520.0,"United States - In metropolitan statistical area - Fargo-Moorhead, ND-MN MSA","Fargo-Moorhead, ND-MN MSA",174367.0,73536.0,2820.64,10.17,2810.47,62.0,26.2,,,,,,,,,,
3800000US2560,2560.0,"United States - In metropolitan statistical area - Fayetteville, NC MSA","Fayetteville, NC MSA",302963.0,118425.0,658.46,5.74,652.72,464.2,181.4,310M100US22180,22180.0,"United States - In metropolitan statistical area - Fayetteville, NC MSA",366383.0,153735.0,1050.66,7.6,1043.06,351.3,147.4
3800000US2580,2580.0,"United States - In metropolitan statistical area - Fayetteville-Springdale-Rogers, AR MSA","Fayetteville-Springdale-Rogers, AR MSA",311121.0,128611.0,1836.25,40.54,1795.71,173.3,71.6,,,,,,,,,,
3800000US2620,2620.0,"United States - In metropolitan statistical area - Flagstaff, AZ-UT MSA","Flagstaff, AZ-UT MSA",122366.0,57210.0,22769.63,160.25,22609.38,5.4,2.5,,,,,,,,,,
3800000US2650,2650.0,"United States - In metropolitan statistical area - Florence, AL MSA","Florence, AL MSA",142950.0,65404.0,1342.39,78.4,1263.99,113.1,51.7,,,,,,,,,,
3800000US2655,2655.0,"United States - In metropolitan statistical area - Florence, SC MSA","Florence, SC MSA",125761.0,51836.0,803.74,3.9,799.84,157.2,64.8,310M100US22500,22500.0,"United States - In metropolitan statistical area - Florence, SC MSA",205566.0,88963.0,1370.53,9.41,1361.12,151.0,65.4
3800000US2670,2670.0,"United States - In metropolitan statistical area - Fort Collins-Loveland, CO MSA","Fort Collins-Loveland, CO MSA",251494.0,105392.0,2633.86,32.56,2601.3,96.7,40.5,310M100US22660,22660.0,"United States - In metropolitan statistical area - Fort Collins-Loveland, CO MSA",299630.0,132722.0,2633.95,37.95,2596.0,115.4,51.1
3800000US2700,2700.0,"United States - In metropolitan statistical area - Fort Myers-Cape Coral, FL MSA","Fort Myers-Cape Coral, FL MSA",440888.0,245405.0,1211.89,408.26,803.63,548.6,305.4,,,,,,,,,,
3800000US2710,2710.0,"United States - In metropolitan statistical area - Fort Pierce-Port St. Lucie, FL MSA","Fort Pierce-Port St. Lucie, FL MSA",319426.0,156733.0,1440.87,312.81,1128.06,283.2,138.9,,,,,,,,,,
3800000US2720,2720.0,"United States - In metropolitan statistical area - Fort Smith, AR-OK MSA","Fort Smith, AR-OK MSA",207290.0,87566.0,1865.11,59.66,1805.45,114.8,48.5,310M100US22900,22900.0,"United States - In metropolitan statistical area - Fort Smith, AR-OK MSA",298592.0,128891.0,4092.72,96.38,3996.35,74.7,32.3
3800000US2750,2750.0,"United States - In metropolitan statistical area - Fort Walton Beach, FL MSA","Fort Walton Beach, FL MSA",170498.0,78593.0,1082.0,146.37,935.63,182.2,84.0,,,,,,,,,,
3800000US2760,2760.0,"United States - In metropolitan statistical area - Fort Wayne, IN MSA","Fort Wayne, IN MSA",502141.0,206237.0,2460.13,12.57,2447.56,205.2,84.3,310M100US23060,23060.0,"United States - In metropolitan statistical area - Fort Wayne, IN MSA",416257.0,178124.0,1368.18,7.22,1360.96,305.9,130.9
3800000US2840,2840.0,"United States - In metropolitan statistical area - Fresno, CA MSA","Fresno, CA MSA",922516.0,311154.0,8170.74,72.16,8098.59,113.9,38.4,310M100US23420,23420.0,"United States - In metropolitan statistical area - Fresno, CA MSA",930450.0,315531.0,6011.2,53.21,5957.99,156.2,53.0
3800000US2880,2880.0,"United States - In metropolitan statistical area - Gadsden, AL MSA","Gadsden, AL MSA",103459.0,45959.0,548.75,13.93,534.82,193.4,85.9,310M100US23460,23460.0,"United States - In metropolitan statistical area - Gadsden, AL MSA",104430.0,47454.0,548.63,13.64,534.99,195.2,88.7
